time,x,der(x),der(der(x)),F_in,k,c,m
1.490000000000001,0.3947806729734719,-0.5267652378394925,0.1319845648660206,0,0,0,0
1.500000000000001,0.3895196200574407,-0.5254254121734339,0.1359057921159932,0,0,0,0
1.510000000000001,0.3842721586419616,-0.5240466357912665,0.1397744771493049,0,0,0,0
1.520000000000001,0.3790386756353775,-0.5226294334745989,0.1435907578392214,0,0,0,0
1.530000000000001,0.3738195527051051,-0.5211743286067172,0.1473547759016121,0,0,0,0
1.540000000000001,0.368615166291807,-0.5196818431344221,0.1510666768426151,0,0,0,0
1.550000000000001,0.3634258876239439,-0.5181524975303851,0.1547266099064412,0,0,0,0
1.560000000000001,0.3582520827326994,-0.5165868107560259,0.1583347280233265,0,0,0,0
1.570000000000001,0.3530941124672753,-0.5149853002249121,0.1618911877576367,0,0,0,0
1.580000000000001,0.3479523325105473,-0.5133484817666739,0.1653961492561266,0,0,0,0
1.590000000000001,0.342827093395082,-0.5116768695914405,0.1688497761963585,0,0,0,0
1.600000000000001,0.3377187405195069,-0.509970976254785,0.1722522357352781,0,0,0,0
1.610000000000001,0.3326276141652247,-0.5082313126231871,0.1756036984579624,0,0,0,0
1.620000000000001,0.3275540495134759,-0.5064583878400079,0.178904338326532,0,0,0,0
1.630000000000001,0.3224983766627342,-0.5046527092919718,0.1821543326292376,0,0,0,0
1.640000000000001,0.3174609206464379,-0.5028147825761586,0.1853538619297207,0,0,0,0
1.650000000000001,0.3124420014510473,-0.500945111467504,0.1885031100164566,0,0,0,0
1.660000000000001,0.3074419340344244,-0.4990441978867974,0.191602263852373,0,0,0,0
1.670000000000001,0.3024610283445316,-0.4971125418691925,0.1946515135246609,0,0,0,0
1.680000000000001,0.2974995893384416,-0.4951506415332135,0.1976510521947719,0,0,0,0
1.690000000000001,0.2925579170016546,-0.4931589930502598,0.2006010760486052,0,0,0,0
1.700000000000001,0.2876363063677191,-0.4911380906146098,0.2035017842468907,0,0,0,0
1.710000000000001,0.2827350475381487,-0.48908842641392,0.2063533788757713,0,0,0,0
1.720000000000001,0.277854425702633,-0.4870104906002161,0.209156064897583,0,0,0,0
1.730000000000001,0.2729947211595358,-0.4849047712613759,0.2119100501018401,0,0,0,0
1.740000000000001,0.2681562093366746,-0.4827717543931013,0.2146155450564267,0,0,0,0
1.750000000000001,0.26333916081238,-0.4806119238713782,0.2172727630589982,0,0,0,0
1.760000000000001,0.2585438413368267,-0.4784257614254196,0.2198819200885929,0,0,0,0
1.770000000000001,0.253770511853634,-0.4762137466110924,0.2224432347574584,0,0,0,0
1.780000000000001,0.2490194285217275,-0.4739763567848269,0.2249569282630993,0,0,0,0
1.790000000000001,0.2442908427374623,-0.4717140670780015,0.2274232243405392,0,0,0,0
1.800000000000001,0.2395850011569964,-0.4694273503718046,0.2298423492148083,0,0,0,0
1.810000000000001,0.2349021457189167,-0.4671166772725723,0.2322145315536557,0,0,0,0
1.820000000000001,0.2302425136671066,-0.4647825160875957,0.2345400024204891,0,0,0,0
1.830000000000001,0.225606337573855,-0.4624253328013998,0.2368189952275448,0,0,0,0
1.840000000000001,0.2209938453631991,-0.4600455910524868,0.2390517456892876,0,0,0,0
1.850000000000001,0.2164052603344981,-0.4576437521105473,0.2412384917760492,0,0,0,0
1.860000000000001,0.2118408011862316,-0.4552202748541315,0.2433794736678999,0,0,0,0
1.870000000000001,0.2073006820400203,-0.4527756157487823,0.245474933708762,0,0,0,0
1.880000000000001,0.2027851124648623,-0.4503102288256249,0.2475251163607627,0,0,0,0
1.890000000000001,0.198294297501581,-0.4478245656604125,0.2495302681588315,0,0,0,0
1.900000000000001,0.1938284376874813,-0.4453190753530243,0.251490637665543,0,0,0,0
1.910000000000001,0.1893877290812075,-0.4427942045074136,0.2534064754262061,0,0,0,0
1.920000000000001,0.1849723632877998,-0.4402503972120055,0.2552780339242057,0,0,0,0
